"Longitude","Latitude"
-92.02361,42.150169
-95.770748,39.851532
-97.157428,49.817446
-92.768452,44.526463
-85.628764,42.242359
-97.95035,50.380923
-89.122302,40.85059
-90.381369,42.489327
-74.604347,45.103371
-88.690602,42.559705
-80.735322,43.122892
-92.223948,42.355437
-90.487387,44.726949
-92.867511,44.034808
-91.68985,41.314606
-93.721026,42.097245
-96.005578,40.410758
-80.473322,42.698667
-88.526796,44.029141
-87.712492,42.042727
-93.063325,41.516997
-88.616201,44.182274
-90.427818,42.69147
-81.818872,42.644237
-90.591308,41.698068
-92.954178,42.022916
-92.4822,41.435021
-79.390941,39.426949
-93.527286,44.797396
-89.828886,42.392216
-90.27105,42.24457
-88.472358,42.725161
-92.313063,43.617808
-88.643045,41.773615
-92.659646,44.930759
-95.441418,39.637363
-96.278519,43.736756
-93.360331,44.733531
-92.793395,45.035749
-93.72879,43.747915
-92.934047,43.570537
-93.341462,45.098551
-96.515346,47.299688
-94.013733,44.076545
-87.714302,42.619596
-92.557988,44.130496
-93.275071,45.223416
-88.623413,43.107206
-91.586268,43.766799
-94.002422,45.257708
-95.371035,45.882312
-93.798538,44.495833
-96.589999,47.785494
-91.774253,41.980738
-93.768654,44.718197
-93.583892,44.641392
-93.281617,44.290163
-87.54612,44.588662
-89.067039,42.834433
-93.096192,45.014452
-91.445828,43.77675
-95.920555,44.343009
-91.963691,41.007606
-93.297456,45.868647
-88.310182,41.821831
-89.433746,42.910492
-90.732183,41.40195
-80.805749,43.385663
-88.61399,40.746649
-60.272129,46.272985
-89.635429,42.375683
-84.455115,41.583965
-94.908723,45.032005
-74.592072,45.668324
-94.113044,43.658517
-96.802461,46.891739
-89.043549,43.345909
-92.821238,44.797748
-94.978033,44.575764
-94.111914,44.16375
-73.461655,45.046478
-94.946022,45.725087
-89.859904,43.339023
-88.906109,43.08495
-93.170536,44.706536
-93.755157,44.901447
-93.378128,44.434955
-88.285387,42.794624
-88.618759,42.412712
-89.748542,40.734172
-91.729843,43.602149
-88.156905,41.528605
-94.544855,44.776739
-95.641133,45.124923
-83.649714,40.624904
-88.425217,42.042931
-73.057122,44.225625
-96.798828,46.774929
-94.006966,44.328297
-96.058638,46.604508
-94.13764,45.247111
-74.76963,45.384178
-96.109444,45.19592
-88.414383,44.41948
-92.054972,43.513981
-72.401326,43.54061
-85.471111,32.032127
-89.202,42.084
-88.309937,43.007969
-88.802238,42.373608
-88.431137,41.531189
-99.946274,49.846331
-69.865786,47.568191
-80.590897,43.612683
-75.341195,45.05555
-90.91721,40.995874
-87.80292,43.674063
-91.350227,41.381001
-89.043345,42.346619
-93.478783,41.585483
-89.100375,42.966933
-96.466486,46.865449
-88.1218,43.403297
-89.067314,42.717328
-90.154929,43.867431
-90.079536,44.696547
-96.312812,43.998582
-93.873434,44.820779
-94.460519,45.735595
-94.231831,45.659189
-87.816116,43.964611
-75.108449,45.59892
-89.307384,42.782865
-94.118458,45.505682
-87.857497,43.40429
-74.61849,40.029835
-64.363307,45.893917
-88.648112,44.089458
-88.013245,42.662678
-88.051872,41.589408
-87.828986,42.674908
-93.625412,41.502937
-97.939117,49.18022
-97.06856,44.351343
-83.907698,40.819637
-97.091949,40.880169
-94.730922,44.449408
-86.363991,40.836258
-89.377892,41.989289
-92.351273,42.722584
-91.58635,41.788086
-91.308725,41.66428
-96.517503,43.687847
-93.597419,42.769226
-96.6783,40.900695
-89.201913,41.883399
-97.270215,37.74336
-89.322187,41.90559
-98.721655,44.542622
-83.68313,41.23594
-88.505029,41.801352
-98.070511,43.954614
-96.684588,40.796875
-95.958023,44.239373
-95.781952,44.428112
-91.582583,43.643433
-83.647714,41.36915
-83.50408,40.674488
-94.391363,45.593653
-86.884055,40.287327
-92.813858,45.280967
-87.918701,42.897942
-88.179762,43.599975
-87.943284,43.667032
-83.324178,40.102997
-88.651361,44.335952
-92.979883,41.710461
-90.667305,41.075672
-88.464972,41.444625
-89.731093,44.46136
-83.811203,41.982513
-75.731639,45.220991
-90.812204,38.472733
-63.61918,46.225789
-92.653242,44.067625
-91.576093,41.616142
-98.008367,43.706556
-96.572764,40.552153
-80.522462,43.519416
-88.040119,43.792932
-97.401887,42.905645
-88.307922,41.618458
-88.408063,44.259161
-83.186994,41.627513
-88.501595,43.31425
-89.623313,42.496037
-86.034778,37.93376
-85.533016,38.266737
-88.652233,37.035717
-82.922288,38.545665
-84.580929,37.87203
-83.800455,41.513718
-93.512667,44.990391
-89.46266,43.024165
-92.531258,44.018106
-93.193581,43.187997
-96.213733,41.199763
-95.314098,38.915257
-96.313659,41.024539
-89.928315,40.67408
-88.283311,44.105544
-73.257,44.551
-73.223753,45.96862
-89.583426,43.364512
-89.010308,40.737644
-97.168766,49.948565
-79.154176,43.813314
-80.636405,43.444053
-79.369965,43.146465
-81.96638,42.546258
-87.573152,37.795842
-83.677619,37.413751
-83.258893,37.922281
-87.941264,37.685623
-85.905519,37.601728
-87.107826,37.719824
-84.727866,38.960254
-85.691053,37.539268
-98.222183,45.870331
-99.07857,40.716481
-88.311659,42.42315
-88.863755,42.079779
-77.461766,44.149895
-82.388253,42.592645
-75.620681,45.317533
-71.886461,46.688457
-80.616891,43.333694
-80.976952,43.359159
-79.48597,44.051251
-75.601902,45.148269
-75.13818,45.360071
-78.492851,37.911108
-91.826044,41.877967
-81.59762,41.507187
